category,recipe
0,"make a choice and proceed with recipe depending on size of squash , cut into half or fourths remove seeds for spicy squash , drizzle olive oil or melted butter over each cut squash piece season with mexican seasoning mix ii for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece season with sweet mexican spice mix bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin be careful not to burn the squash especially if you opt to use sugar or butter if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking if desired , season with salt"
0,"mix all ingredients& boil for 2 1 / 2 hours , or until thick pour into jars i use'old' glass ketchup bottles it is not necessary for these to'seal 'my amish mother-in-law has been making this her entire life , and has never used a'sealed' jar for this recipe , and it's always been great !"
0,"toast the fennel seeds and lightly crush them place all the ingredients in a bowl , stir well cover and leave to marinate keep refrigerated and use within 1 to 2 days"
0,"drain green chiles sprinkle cornstarch on sheet pan open up chile and place on egg roll wrapper with corner facing you place cheese stick on chile and roll up , tucking in corners and moistening edges to seal toss in cornstarch , dusting liberally shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out drain on paper towels and keep warm in 250 oven serve as a side dish or appetizer with your favorite mexican meal add your favorite condi- ments / sauces"
0,"heat the oil or margarine in a soup pot and add the onion and garlic saute over medium heat until the onion is golden , about 10 minutes add the cauliflower , potatoes , water , and seasonings there should be enough broth to cover all but about an inch of the veggies bring to a simmer , then simmer gently covered until the veggies are tender , about 25 minutes remove from the heat transfer the vegetables from the soup pot to a food processor or blender and puree in batches until smooth puree about half of the beans with each of the two batches of vegetables transfer the puree back into the soup pot , stirring it back into whatever liquid remained let the soup stand for 1-2 hours before serving , then heat through as needed ladle into soup bowls and garnish the tops with 2-3 garnishes"
0,"in a 3 qt saucepan over medium high heat , saute the onions and scallions in the apple juice and oil for 5 minutes , stirring frequently add the spinach , parsley and celery cook for 5-7 minutes , stirring occasionally add the broth , oats , salt , thyme and pepper bring to a boil , then lower the heat to medium cover and simmer for 20 minutes remove from the heat let the soup cool for 10 minutes working in batches , puree in a blender until thick and smooth return to the pot reheat and serve"
0,mix the spices together and store in an airtight container saute small amounts in butter / ghee to spice vegetables and grains
0,"rehydrate tvp if needed spray or oil a large pot chop the onion , hot peppers , and garlic and add to the pot chop remaining vegetables , add to pot and brown lightly add remaining ingredients stir well and simmer at least 15 minutes taste adjust spices to taste simmer an additional 15 minutes or so serve with garlic bread , toast , or on rice"
0,"preheat oven to 350 degrees grease 13 x 9 baking pan in a large bowl , whisk together butter , sugar and vanilla add eggs and stir until well combined combine dry ingredients and blend well with wet ingredients reserve 2 cups of batter and set aside spread remaining batter in prepared pan arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart carefully spread reserved 2 cups of batter on top bake for 50- 55 minutes or until brownies begin to pull away from sides of pan cool completely on wire rack and cut into squares"
0,"preheat oven to 350 degrees place spinach in strainer and squeeze all extra liquid from it in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well pour into a 2 quart casserole dish and top with croutons bake for 35 to 40 minutes , or until bubbling around edges"
